bin_label,date,avw,brightness
9.75-10.25,2024-12-18,582.9954466095198,1.3843559
9.75-10.25,2024-12-26,570.6950701740792,0.9645378
9.75-10.25,2025-01-01,576.9631538554726,1.4752116
9.75-10.25,2025-01-09,566.4744939564995,1.3752801
9.75-10.25,2025-01-17,567.3888600186012,1.3213992
9.75-10.25,2025-01-25,564.8258804178316,1.0916744
9.75-10.25,2025-02-02,570.5492080733172,1.159467
9.75-10.25,2025-02-10,590.9870705795506,1.5580517
9.75-10.25,2025-02-18,576.669898405935,1.4746578
9.75-10.25,2025-02-26,578.7963608640935,1.8290303
9.75-10.25,2025-03-06,579.286703191218,1.5960375
9.75-10.25,2025-03-14,596.4122196655344,1.8385903
9.75-10.25,2025-03-22,571.1096511361558,1.1201667
9.75-10.25,2025-03-30,574.665781982707,1.274986
9.75-10.25,2025-04-07,585.1017928272888,1.424686
9.75-10.25,2025-04-15,572.5491662527432,1.1202588
9.75-10.25,2025-04-23,573.1626447382982,0.92475784
24.75-25.25,2024-03-13,590.3264770522114,0.94459534
24.75-25.25,2024-03-21,591.9295704672642,0.28730828
24.75-25.25,2024-04-06,578.4686970068559,0.6021315
24.75-25.25,2024-04-14,588.9963608175103,0.69151205
24.75-25.25,2024-04-22,579.1637053508229,1.2099981
24.75-25.25,2024-04-30,561.0048507306911,0.5896553
24.75-25.25,2024-05-08,562.5405635529805,0.8268763
24.75-25.25,2024-05-16,573.2476501478918,0.7777433
24.75-25.25,2024-05-24,590.4917761183096,0.52986974
24.75-25.25,2024-06-01,587.0392329132246,0.3923425
24.75-25.25,2024-06-09,578.3512397849364,0.6317295
24.75-25.25,2024-06-17,587.1590765730106,0.9107114
24.75-25.25,2024-06-25,590.49288289749,0.2047115
24.75-25.25,2024-07-03,581.4627641180161,0.9839805
24.75-25.25,2024-07-11,585.2263338608348,0.6813071
24.75-25.25,2024-07-19,545.0188439043982,0.5293006
24.75-25.25,2024-07-27,576.1025120313838,0.56093526
24.75-25.25,2024-08-04,538.7882867692418,0.23985982
24.75-25.25,2024-08-12,591.1299982701103,0.8271529
24.75-25.25,2024-08-20,544.2176030333006,0.25210607
24.75-25.25,2024-08-28,587.0089481570401,0.2889256
24.75-25.25,2024-09-05,583.3630189998194,0.16457075
24.75-25.25,2024-09-13,574.9655516319278,0.19197768
24.75-25.25,2024-09-21,581.4678028934296,0.6360727
24.75-25.25,2024-09-29,513.9741836880469,0.31008923
24.75-25.25,2024-10-07,599.5904635703765,0.45184246
24.75-25.25,2024-10-15,592.1021899384194,0.39393327
24.75-25.25,2024-10-23,588.8328614405328,0.7327093
24.75-25.25,2024-10-31,594.0341548287842,0.7133156
24.75-25.25,2024-11-08,580.7693129272744,0.70779634
24.75-25.25,2024-11-16,608.8734153921728,0.28835222
24.75-25.25,2024-11-24,588.864670117384,1.1851432
24.75-25.25,2024-12-02,595.5532531921594,0.61730933
24.75-25.25,2024-12-10,590.8369998700807,0.6245569
24.75-25.25,2024-12-18,597.3024703324611,0.98127717
24.75-25.25,2024-12-26,596.9153269834603,0.97436863
24.75-25.25,2025-01-01,603.2015831535621,0.8171743
24.75-25.25,2025-01-17,587.8902926118398,1.2058032
24.75-25.25,2025-01-25,595.358970094924,0.8155307
24.75-25.25,2025-02-10,573.0388944101348,0.4589133
24.75-25.25,2025-02-18,593.9475594001141,1.2215465
24.75-25.25,2025-02-26,588.4015940150923,1.0780427
24.75-25.25,2025-03-14,586.4436167881622,0.74461687
24.75-25.25,2025-03-22,603.9000064583942,0.57720685
24.75-25.25,2025-03-30,582.2549850227712,0.44768125
24.75-25.25,2025-04-07,585.1381812627154,0.8121492
24.75-25.25,2025-04-15,587.3024852659615,0.5207602
24.75-25.25,2025-04-23,586.7204828908491,0.74968636
